DATE,CNP16OV
2003-01-01,219897
2003-02-01,220114
2003-03-01,220317
2003-04-01,220540
2003-05-01,220768
2003-06-01,221014
2003-07-01,221252
2003-08-01,221507
2003-09-01,221779
2003-10-01,222039
2003-11-01,222279
2003-12-01,222509
2004-01-01,222161
2004-02-01,222357
2004-03-01,222550
2004-04-01,222757
2004-05-01,222967
2004-06-01,223196
2004-07-01,223422
2004-08-01,223677
2004-09-01,223941
2004-10-01,224192
2004-11-01,224422
2004-12-01,224640
2005-01-01,224837
2005-02-01,225041
2005-03-01,225236
2005-04-01,225441
2005-05-01,225670
2005-06-01,225911
2005-07-01,226153
2005-08-01,226421
2005-09-01,226693
2005-10-01,226959
2005-11-01,227204
2005-12-01,227425
2006-01-01,227553
2006-02-01,227763
2006-03-01,227975
2006-04-01,228199
2006-05-01,228428
2006-06-01,228671
2006-07-01,228912
2006-08-01,229167
2006-09-01,229420
2006-10-01,229675
2006-11-01,229905
2006-12-01,230108
2007-01-01,230650
2007-02-01,230834
2007-03-01,231034
2007-04-01,231253
2007-05-01,231480
2007-06-01,231713
2007-07-01,231958
2007-08-01,232211
2007-09-01,232461
2007-10-01,232715
2007-11-01,232939
2007-12-01,233156
2008-01-01,232616
2008-02-01,232809
2008-03-01,232995
2008-04-01,233198
2008-05-01,233405
2008-06-01,233627
2008-07-01,233864
2008-08-01,234107
2008-09-01,234360
2008-10-01,234612
2008-11-01,234828
2008-12-01,235035
2009-01-01,234739
2009-02-01,234913
2009-03-01,235086
2009-04-01,235271
2009-05-01,235452
2009-06-01,235655
2009-07-01,235870
2009-08-01,236087
2009-09-01,236322
2009-10-01,236550
2009-11-01,236743
2009-12-01,236924
2010-01-01,236832
2010-02-01,236998
2010-03-01,237159
2010-04-01,237329
2010-05-01,237499
2010-06-01,237690
2010-07-01,237890
2010-08-01,238099
2010-09-01,238322
2010-10-01,238530
2010-11-01,238715
2010-12-01,238889
2011-01-01,238704
2011-02-01,238851
2011-03-01,239000
2011-04-01,239146
2011-05-01,239313
2011-06-01,239489
2011-07-01,239671
2011-08-01,239871
2011-09-01,240071
2011-10-01,240269
2011-11-01,240441
2011-12-01,240584
2012-01-01,242269
2012-02-01,242435
2012-03-01,242604
2012-04-01,242784
2012-05-01,242966
2012-06-01,243155
2012-07-01,243354
2012-08-01,243566
2012-09-01,243772
2012-10-01,243983
2012-11-01,244174
2012-12-01,244350
2013-01-01,244663
2013-02-01,244828
2013-03-01,244995
2013-04-01,245175
2013-05-01,245363
2013-06-01,245552
2013-07-01,245756
2013-08-01,245959
2013-09-01,246168
2013-10-01,246381
2013-11-01,246567
2013-12-01,246745
2014-01-01,246915
2014-02-01,247085
2014-03-01,247258
2014-04-01,247439
2014-05-01,247622
2014-06-01,247814
2014-07-01,248023
2014-08-01,248229
2014-09-01,248446
2014-10-01,248657
2014-11-01,248844
2014-12-01,249027
2015-01-01,249723
2015-02-01,249899
2015-03-01,250080
2015-04-01,250266
2015-05-01,250455
2015-06-01,250663
2015-07-01,250876
2015-08-01,251096
2015-09-01,251325
2015-10-01,251541
2015-11-01,251747
2015-12-01,251936
2016-01-01,252397
2016-02-01,252577
2016-03-01,252768
2016-04-01,252969
2016-05-01,253174
2016-06-01,253397
2016-07-01,253620
2016-08-01,253854
2016-09-01,254091
2016-10-01,254321
2016-11-01,254540
2016-12-01,254742
2017-01-01,254082
2017-02-01,254246
2017-03-01,254414
2017-04-01,254588
2017-05-01,254767
2017-06-01,254957
2017-07-01,255151
2017-08-01,255357
2017-09-01,255562
2017-10-01,255766
2017-11-01,255949
2017-12-01,256109
2018-01-01,256780
2018-02-01,256934
2018-03-01,257097
2018-04-01,257272
2018-05-01,257454
2018-06-01,257642
2018-07-01,257843
2018-08-01,258066
2018-09-01,258290
2018-10-01,258514
2018-11-01,258708
2018-12-01,258888
2019-01-01,258239
2019-02-01,258392
2019-03-01,258537
2019-04-01,258693
2019-05-01,258861
2019-06-01,259037
2019-07-01,259225
2019-08-01,259432
2019-09-01,259638
2019-10-01,259845
2019-11-01,260020
2019-12-01,260181
2020-01-01,259502
2020-02-01,259628
2020-03-01,259758
2020-04-01,259896
2020-05-01,260047
2020-06-01,260204
2020-07-01,260373
2020-08-01,260558
2020-09-01,260742
2020-10-01,260925
2020-11-01,261085
2020-12-01,261230
2021-01-01,260851
2021-02-01,260918
2021-03-01,261003
2021-04-01,261103
2021-05-01,261210
2021-06-01,261338
2021-07-01,261469
2021-08-01,261611
2021-09-01,261766
2021-10-01,261908
2021-11-01,262029
2021-12-01,262136
2022-01-01,263202
2022-02-01,263324
2022-03-01,263444
2022-04-01,263559
2022-05-01,263679
2022-06-01,263835
2022-07-01,264012
2022-08-01,264184
2022-09-01,264356
2022-10-01,264535
2022-11-01,264708
2022-12-01,264844
2023-01-01,265962
2023-02-01,266112
2023-03-01,266272
2023-04-01,266443
2023-05-01,266618
2023-06-01,266801
2023-07-01,267002
2023-08-01,267213
2023-09-01,267428
2023-10-01,267642
